No.,Author(s),Year,Full title,Journal,DOI,SHG engagement,Justification for inclusion
11,Holford TR et al.,2012,Chapter 4: Development of the Counterfactual Smoking Histories Used to Assess the Effects of Tobacco Control,Risk Analysis,10.1111/j.1539-6924.2011.01759.x,SHG input development,"Developed the actual and counterfactual initiation, cessation, and smoking-intensity inputs used by the SHG for the CISNET Smoking Base Case."
12,Holford TR et al.,2012,Chapter 14: Comparing the Adequacy of Carcinogenesis Models in Estimating U.S. Population Rates for Lung Cancer Mortality,Risk Analysis,10.1111/j.1539-6924.2011.01734.x,Direct use through CISNET model inputs,Evaluated carcinogenesis models against U.S. population mortality using the coordinated CISNET smoking-history inputs.
13,Holford TR et al.,2012,Chapter 12: Yale Lung Cancer Model,Risk Analysis,10.1111/j.1539-6924.2011.01754.x,Direct use through CISNET model inputs,Used the common CISNET smoking-history scenarios to estimate lung-cancer mortality under actual and counterfactual tobacco control.
14,Jeon J et al.,2012,Chapter 5: Actual and Counterfactual Smoking Prevalence Rates in the U.S. Population via Microsimulation,Risk Analysis,10.1111/j.1539-6924.2011.01775.x,SHG methods and direct application,Described the SHG and used it to simulate individual life and smoking histories under the three CISNET smoking scenarios and calculate population smoking prevalence.
15,Kong CY et al.,2012,Using Radiation Risk Models in Cancer Screening Simulations: Important Assumptions and Effects on Outcome Projections,Radiology,10.1148/radiol.11110352,Direct use through CISNET model lineage,Used the Lung Cancer Policy Model with simulated historical U.S. smoking behavior to evaluate radiation-related risks of CT screening.
16,Levy DT et al.,2012,Chapter 10: A Macro-Model of Smoking and Lung Cancer: Examining Aggregate Trends in Lung Cancer Rates Using the CPS-I and CPS-II and Two-Stage Clonal Expansion Models,Risk Analysis,10.1111/j.1539-6924.2012.01795.x,Direct use of SHG-derived inputs,"Used Smoking Base Case prevalence, intensity, and duration outputs for the SHG-derived actual, no, and complete tobacco-control scenarios in a lung-cancer macro-model."
17,McCarthy WJ et al.,2012,Chapter 6: Lung Cancer in Never Smokers: Epidemiology and Risk Prediction Models,Risk Analysis,10.1111/j.1539-6924.2012.01768.x,Explicit use in analysis,Used the SHG to simulate U.S. never-smoker populations under three smoking scenarios and applied a CISNET model to estimate lung-cancer mortality.
18,McMahon PM et al.,2012,Chapter 13: CISNET Lung Models: Comparison of Model Assumptions and Model Structures,Risk Analysis,10.1111/j.1539-6924.2011.01714.x,Direct use summary,Compared six CISNET lung models that used shared smoking histories and other-cause mortality from the common SHG inputs.
19,McMahon PM et al.,2012,Chapter 9: The MGH-HMS Lung Cancer Policy Model: Tobacco Control Versus Screening,Risk Analysis,10.1111/j.1539-6924.2011.01652.x,Direct use through CISNET model inputs,Applied shared CISNET smoking histories in the Lung Cancer Policy Model to compare tobacco-control and screening scenarios.
20,Moolgavkar SH et al.,2012,Impact of Reduced Tobacco Smoking on Lung Cancer Mortality in the United States During 1975–2000,Journal of the National Cancer Institute,10.1093/jnci/djs136,Explicit use in analysis,"Generated detailed histories and other-cause mortality under actual, no, and complete tobacco-control scenarios as common inputs to CISNET lung models."
21,Rosenberg MA et al.,2012,"Chapter 3: Cohort Life Tables by Smoking Status, Removing Lung Cancer as a Cause of Death",Risk Analysis,10.1111/j.1539-6924.2011.01662.x,SHG mortality input development,"Developed the smoking-status-, intensity-, sex-, age-, and birth-cohort-specific other-cause mortality tables used with SHG histories in CISNET analyses."
22,Schultz FW et al.,2012,"Chapter 7: Description of MISCAN-Lung, the Erasmus MC Lung Cancer Microsimulation Model for Evaluating Cancer Control Interventions",Risk Analysis,10.1111/j.1539-6924.2011.01752.x,Direct use through CISNET model inputs,Used the common CISNET smoking-history inputs to model the impact of tobacco control on U.S. lung-cancer mortality.
23,Evans WK et al.,2013,Canadian Cancer Risk Management Model: Evaluation of Cancer Control,International Journal of Technology Assessment in Health Care,10.1017/s0266462313000044,OncoSim internal-SHG methods/application,"Evaluated the Canadian model and its simulated age-, sex-, and cohort-specific smoking histories used in lung-cancer projections."
24,Tramontano AC et al.,2013,Microsimulation Model Predicts Survival Benefit of Radiofrequency Ablation and Stereotactic Body Radiotherapy Versus Radiotherapy for Treating Inoperable Stage I Non-Small Cell Lung Cancer,American Journal of Roentgenology,10.2214/ajr.12.8968,Direct use through CISNET model lineage,Selected simulated stage I lung-cancer cases from an LCPM population generated using the model's U.S. smoking-history component and compared alternative treatments.
25,Yeh JM et al.,2013,Contribution of H. pylori and Smoking Trends to US Incidence of Intestinal-Type Noncardia Gastric Adenocarcinoma: A Microsimulation Model,PLOS Medicine,10.1371/journal.pmed.1001451,Explicit use in analysis,"Assigned individual initiation age, cessation age, and intensity profiles derived from the NHIS-based NCI SHG in a gastric-cancer microsimulation."
26,Chen X et al.,2014,Modeling the Natural History and Detection of Lung Cancer Based on Smoking Behavior,PLOS ONE,10.1371/journal.pone.0093430,Explicit use in analysis,"Used SHG version 5.2.1 to generate the underlying U.S. population, smoking duration and intensity, and age at death from other causes."
27,de Koning HJ et al.,2014,Benefits and Harms of Computed Tomography Lung Cancer Screening Strategies: A Comparative Modeling Study for the U.S. Preventive Services Task Force,Annals of Internal Medicine,10.7326/m13-2316,Explicit use in analysis,Provided common U.S. smoking histories and other-cause mortality inputs for comparative evaluation of CT screening strategies.
28,Goehler A et al.,2014,Cost-Effectiveness of Follow-Up of Pulmonary Nodules Incidentally Detected on Cardiac Computed Tomographic Angiography in Patients With Suspected Coronary Artery Disease,Circulation,10.1161/circulationaha.113.007306,Direct use of SHG-derived inputs,"Imputed smoking initiation age, cessation age, and cigarettes per day from U.S. sex- and birth-cohort smoking patterns developed for the NCI SHG."
29,Holford TR et al.,2014,"Patterns of Birth Cohort–Specific Smoking Histories, 1965–2009",American Journal of Preventive Medicine,10.1016/j.amepre.2013.10.022,SHG input development,Developed birth-cohort smoking-history estimates that were incorporated into the NCI Smoking History Generator.
30,Holford TR et al.,2014,"Tobacco Control and the Reduction in Smoking-Related Premature Deaths in the United States, 1964–2012",JAMA,10.1001/jama.2013.285112,Explicit SHG-derived histories,Applied actual and counterfactual cohort smoking histories to estimate premature deaths avoided through U.S. tobacco control.
31,McMahon PM et al.,2014,Comparing Benefits from Many Possible Computed Tomography Lung Cancer Screening Programs: Extrapolating from the National Lung Screening Trial Using Comparative Modeling,PLOS ONE,10.1371/journal.pone.0099978,Explicit use in analysis,Used SHG-generated U.S. cohort smoking histories as shared inputs for comparative screening models.
32,Meza RA et al.,2014,Comparative Analysis of 5 Lung Cancer Natural History and Screening Models That Reproduce Outcomes of the NLST and PLCO Trials,Cancer,10.1002/cncr.28623,Explicit use in analysis,Used common SHG population inputs in the comparison and validation of five lung-cancer models.
33,Fitzgerald NR et al.,2015,Eligibility for Low-Dose Computerized Tomography Screening Among Asbestos-Exposed Individuals,"Scandinavian Journal of Work, Environment & Health",10.5271/sjweh.3496,OncoSim internal-SHG application,Used the Canadian Cancer Risk Management Model and its internally generated smoking histories to estimate screening eligibility.
34,Flanagan WM et al.,2015,Performance of the Cancer Risk Management Model Lung Cancer Screening Module,Health Reports,No DOI assigned,OncoSim internal-SHG application,"Used the Canadian Cancer Risk Management Model with internally simulated smoking initiation, cessation, and intensity histories by age, sex, province, and period."
35,Goffin JR et al.,2015,Cost-Effectiveness of Lung Cancer Screening in Canada,JAMA Oncology,10.1001/jamaoncol.2015.2472,OncoSim internal-SHG application,Used the Canadian Cancer Risk Management Model and its internal smoking-history simulation to evaluate screening strategies.
36,Hazelton WD et al.,2015,The Role of Gastroesophageal Reflux and Other Factors during Progression to Esophageal Adenocarcinoma,"Cancer Epidemiology, Biomarkers & Prevention",10.1158/1055-9965.epi-15-0323-t,Explicit use in analysis,"Simulated 222,000 male and 222,000 female smoking histories using SHG version 6.3.2 to estimate birth-cohort smoking trends."
37,Lowry KP et al.,2015,Personalizing Annual Lung Cancer Screening for Patients With Chronic Obstructive Pulmonary Disease: A Decision Analysis,Cancer,10.1002/cncr.29225,Direct use through CISNET model lineage,Populated the Lung Cancer Policy Model with simulated male and female 1950 U.S. birth cohorts generated through the model's SHG-based population component.
38,ten Haaf K et al.,2015,"Lung Cancer Detectability by Test, Histology, Stage, and Gender: Estimates from the NLST and the PLCO Trials","Cancer Epidemiology, Biomarkers & Prevention",10.1158/1055-9965.epi-14-0745,Explicit use in analysis,Used the NCI SHG to generate smoking behavior for the simulated SEER-17 population.
39,ten Haaf K et al.,2015,Should Never-Smokers at Increased Risk for Lung Cancer Be Screened?,Journal of Thoracic Oncology,10.1097/jto.0000000000000593,Explicit use in analysis,Used SHG-generated probabilities of death from causes other than lung cancer by smoking behavior.
40,Vugrin ED et al.,2015,Modeling the Potential Effects of New Tobacco Products and Policies: A Dynamic Population Model for Multiple Product Use and Harm,PLOS ONE,10.1371/journal.pone.0121008,Direct use of SHG-derived inputs,Used CISNET-reconstructed birth-cohort smoking histories to derive age-specific smoking initiation and cessation rates for a dynamic tobacco-product population model.
41,Yeh JM et al.,2015,Gastric Adenocarcinoma Screening and Prevention in the Era of New Biomarker and Endoscopic Technologies: A Cost-Effectiveness Analysis,Gut,10.1136/gutjnl-2014-308588,SHG-based model application,"Applied the gastric-cancer microsimulation model in which individuals receive SHG-derived smoking initiation, cessation, and intensity histories."
42,Cherng ST et al.,2016,Modeling the Effects of E-cigarettes on Smoking Behavior: Implications for Future Adult Smoking Prevalence,Epidemiology,10.1097/ede.0000000000000497,Direct use of CISNET smoking outputs,Calibrated the smoking-only baseline to CISNET smoking estimates and used CISNET-derived smoking rates when modeling the effect of e-cigarettes on future smoking prevalence.
43,Evans WK et al.,2016,"Implementing Low-Dose Computed Tomography Screening for Lung Cancer in Canada: Implications of Alternative At-Risk Populations, Screening Frequency, and Duration",Current Oncology,10.3747/co.23.2988,OncoSim internal-SHG application,Used OncoSim-Lung and its internally generated Canadian smoking histories to compare screening populations and schedules.
44,Goffin JR et al.,2016,Biennial Lung Cancer Screening in Canada With Smoking Cessation—Outcomes and Cost-Effectiveness,Lung Cancer,10.1016/j.lungcan.2016.09.013,OncoSim internal-SHG application,Used OncoSim-Lung smoking histories to evaluate biennial screening and smoking-cessation interventions in Canada.
45,Holford TR et al.,2016,Comparison of Smoking History Patterns Among African American and White Cohorts in the United States Born 1890 to 1990,Nicotine & Tobacco Research,10.1093/ntr/ntv274,Race-specific SHG-method extension,"Extended the SHG age-period-cohort methodology to estimate and compare smoking initiation, cessation, intensity, and prevalence among African American and White U.S. birth cohorts."
46,Kong CY et al.,2016,Combined Biomarker and Computed Tomography Screening Strategies for Lung Cancer: Projections of Health and Economic Tradeoffs in the US Population,MDM Policy & Practice,10.1177/2381468316643968,Direct use through CISNET model lineage,Used the SHG-based Lung Cancer Policy Model population to project biomarker-plus-CT screening outcomes for a U.S. 1950 birth cohort.
47,Tramontano AC et al.,2016,Evaluating the Impacts of Screening and Smoking Cessation Programmes on Lung Cancer in a High-Burden Region of the USA: A Simulation Modelling Study,BMJ Open,10.1136/bmjopen-2015-010227,Regional SHG-method adaptation,"Created Northeast Pennsylvania smoking histories from regional surveys supplemented with NHIS data using the Holford smoking-history methodology, then used them in the Lung Cancer Policy Model."
48,Gauvreau CL et al.,2017,The OncoSim Model: Development and Use for Better Decision-Making in Canadian Cancer Control,Current Oncology,10.3747/co.24.3850,OncoSim internal-SHG model overview,"Described the OncoSim platform, including the lung module that simulates individual Canadian smoking histories."
49,Han SS et al.,2017,Evaluating the Impact of Varied Compliance to Lung Cancer Screening Recommendations Using a Microsimulation Model,Cancer Causes & Control,10.1007/s10552-017-0907-x,Explicit use in analysis,Used NCI SHG smoking histories in a microsimulation of alternative screening-compliance patterns.
50,Han SS et al.,2017,The Impact of Overdiagnosis on the Selection of Efficient Lung Cancer Screening Strategies,International Journal of Cancer,10.1002/ijc.30602,Explicit use in analysis,Used SHG-generated smoking histories and other-cause mortality for the U.S. 1950 birth cohort.
51,Levy DT et al.,2017,The Application of a Decision-Theoretic Model to Estimate the Public Health Impact of Vaporized Nicotine Product Initiation in the United States,Nicotine & Tobacco Research,10.1093/ntr/ntw158,Direct use of SHG-derived inputs,Built the no-vaporized-nicotine-product smoking baseline for a 1997 U.S. cohort from CISNET birth-cohort smoking estimates.
52,Poland B et al.,2017,Population Modeling of Modified Risk Tobacco Products Accounting for Smoking Reduction and Gradual Transitions of Relative Risk,Nicotine & Tobacco Research,10.1093/ntr/ntx070,Direct use of SHG-derived transition inputs,Used CISNET smoking-transition probabilities in the null scenario of a Monte Carlo model that generated individual cigarette and modified-risk tobacco-product histories.
53,Reddy KP et al.,2017,Lung Cancer Mortality Associated With Smoking and Smoking Cessation Among People Living With HIV in the United States,JAMA Internal Medicine,10.1001/jamainternmed.2017.4349,Direct use of SHG-derived intensity distributions,"Used SHG-derived sex-, age-, and birth-cohort-specific cigarette-intensity distributions to define smoking exposure groups in the simulation."
54,Sheehan DF et al.,2017,Evaluating Lung Cancer Screening in China: Implications for Eligibility Criteria Design From a Microsimulation Modeling Approach,PLOS ONE,10.1371/journal.pone.0173119,Country-adapted SHG application,"Adapted the Lung Cancer Policy Model smoking-history machinery using Chinese smoking initiation, cessation, prevalence, and intensity inputs."
55,ten Haaf K et al.,2017,"Performance and Cost-Effectiveness of Computed Tomography Lung Cancer Screening Scenarios in a Population-Based Setting: A Microsimulation Modeling Analysis in Ontario, Canada",PLOS Medicine,10.1371/journal.pmed.1002225,Country-adapted SHG application,Adapted MISCAN-Lung to Ontario and generated individual smoking histories using Ontario population data.
56,Apelberg BJ et al.,2018,Potential Public Health Effects of Reducing Nicotine Levels in Cigarettes in the United States,New England Journal of Medicine,10.1056/nejmsr1714617,Direct use of SHG-derived inputs,Used annual smoking initiation and cessation rates derived by CISNET researchers from national survey data as the baseline for reduced-nicotine scenarios.
57,Brouwer AF et al.,2018,"Case Studies of Gastric, Lung, and Oral Cancer Connect Etiologic Agent Prevalence to Cancer Incidence",Cancer Research,10.1158/0008-5472.can-17-3467,Direct use of SHG-derived population inputs,Used CISNET age- and birth-cohort-specific smoking prevalence estimates as quantitative inputs to a multistage lung-carcinogenesis model.
58,Criss SD et al.,2018,Population Impact of Lung Cancer Screening in the United States: Projections from a Microsimulation Model,PLOS Medicine,10.1371/journal.pmed.1002506,Explicit use in analysis,"Used the NCI CISNET SHG to model individual initiation age, cigarettes per day, cessation age, and competing mortality."
59,Jeon J et al.,2018,Smoking and Lung Cancer Mortality in the United States From 2015 to 2065: A Comparative Modeling Approach,Annals of Internal Medicine,10.7326/m18-1250,Explicit use in analysis,"Provided shared initiation, cessation, intensity, and non-lung-cancer mortality inputs for four CISNET lung models."
60,Kong CY et al.,2018,Benefits and Harms of Lung Cancer Screening in HIV-Infected Individuals With CD4+ Cell Count at Least 500 Cells/μL,AIDS,10.1097/qad.0000000000001818,Population-specific LCPM adaptation,Adapted the Lung Cancer Policy Model for people with HIV using population-specific smoking prevalence and cigarette-intensity distributions.
61,Levy DT et al.,2018,Potential Deaths Averted in USA by Replacing Cigarettes With E-cigarettes,Tobacco Control,10.1136/tobaccocontrol-2017-053759,Direct use of SHG-derived inputs,Used CISNET birth-cohort smoking initiation and cessation rates estimated from national survey data to construct smoking scenarios.
62,Moolgavkar SH et al.,2018,An Assessment of the Cox Proportional Hazards Regression Model for Epidemiologic Studies,Risk Analysis,10.1111/risa.12865,Explicit use in analysis,"Used the NCI SHG to generate complete smoking histories and mortality outcomes for a simulated cohort of 500,000 men and women used to assess residual confounding by smoking."
63,Tomonaga Y et al.,2018,Cost-Effectiveness of Low-Dose CT Screening for Lung Cancer in a European Country With High Prevalence of Smoking—A Modelling Study,Lung Cancer,10.1016/j.lungcan.2018.05.008,Country-adapted SHG application,Adapted MISCAN-Lung to Swiss demographics and country-specific smoking behavior for screening analyses.
64,Blom EF et al.,2019,Treatment Capacity Required for Full-Scale Implementation of Lung Cancer Screening in the United States,Cancer,10.1002/cncr.32026,Explicit use in analysis,Used MISCAN-Lung with birth-cohort smoking behavior incorporated from the NCI SHG.
65,Chen Y et al.,2019,"A Simulation Study of the Effect of Lung Cancer Screening in China, Japan, Singapore, and South Korea",PLOS ONE,10.1371/journal.pone.0220610,Country-adapted SHG application,"Used LCPM-Asia with country-specific smoking initiation, cessation, and intensity inputs adapted for four Asian populations."
66,Criss SD et al.,2019,Cost-Effectiveness Analysis of Lung Cancer Screening in the United States: A Comparative Modeling Study,Annals of Internal Medicine,10.7326/m19-0322,Explicit use in analysis,Used SHG-generated U.S. smoking histories as common inputs for comparative cost-effectiveness modeling.
67,Levy DT et al.,2019,"A Modeling Approach to Gauging the Effects of Nicotine Vaping Product Use on Cessation From Cigarettes: What Do We Know, What Do We Need to Know?",Addiction,10.1111/add.14530,SHG-method tobacco-model adaptation,Applied the Holford age-period-cohort smoking-history method to NHIS data to estimate cohort-specific initiation and cessation rates for counterfactual smoking trajectories.
68,Muhammad-Kah RS et al.,2019,A Computational Model for Assessing the Population Health Impact of Introducing a Modified Risk Claim on an Existing Smokeless Tobacco Product,International Journal of Environmental Research and Public Health,10.3390/ijerph16071264,Direct use of SHG-derived transition inputs,Imported Anderson/CISNET age- and birth-cohort-specific smoking initiation and cessation rates into the model's base-case tobacco-transition histories.
69,Toumazis I et al.,2019,Cost-Effectiveness Analysis of Lung Cancer Screening Accounting for the Effect of Indeterminate Findings,JNCI Cancer Spectrum,10.1093/jncics/pkz035,Explicit use in analysis,Obtained U.S.-representative smoking histories and smoking-specific other-cause mortality using the SHG.
70,Blom EF et al.,2020,Trends in Lung Cancer Risk and Screening Eligibility Affect Overdiagnosis Estimates,Lung Cancer,10.1016/j.lungcan.2019.11.024,Explicit use in analysis,Used MISCAN-Lung with the NCI SHG to generate sex- and birth-cohort-specific smoking and non-lung-cancer mortality histories.
71,Cao P et al.,2020,Potential Impact of Cessation Interventions at the Point of Lung Cancer Screening on Lung Cancer and Overall Mortality in the United States,Journal of Thoracic Oncology,10.1016/j.jtho.2020.02.008,Explicit use in analysis,Used SHG-simulated smoking histories and competing mortality to model screening with and without cessation interventions.
72,Evans WK et al.,2020,Clinical Impact and Cost-Effectiveness of Integrating Smoking Cessation Into Lung Cancer Screening: A Microsimulation Model,CMAJ Open,10.9778/cmajo.20190134,OncoSim internal-SHG application,"Used OncoSim-Lung, which generates initiation, cessation, and smoking-intensity histories from Canadian surveys, to model screening and cessation."
73,Han SS et al.,2020,Disparities of National Lung Cancer Screening Guidelines in the US Population,Journal of the National Cancer Institute,10.1093/jnci/djaa013,Explicit use in analysis,Used SHG-generated smoking histories in model-based comparisons of screening eligibility across population groups.
74,Manuel DG et al.,2020,"Smoking Patterns Based on Birth-Cohort-Specific Histories From 1965 to 2013, With Projections to 2041",Health Reports,10.25318/82-003-x202001100002-eng,Country SHG-method adaptation,Applied the Holford age–period–cohort approach used to create the NCI SHG to estimate Canadian initiation and cessation histories and project smoking patterns.
75,Reddy KP et al.,2020,Novel Microsimulation Model of Tobacco Use Behaviours and Outcomes: Calibration and Validation in a US Population,BMJ Open,10.1136/bmjopen-2019-032579,CISNET-input model development,"Developed the STOP microsimulation using CISNET smoking initiation, cessation, prevalence, and mortality inputs and calibrated the model against CISNET projections."
76,Tam J et al.,2020,Modeling Smoking-Attributable Mortality Among Adults With Major Depression in the United States,Preventive Medicine,10.1016/j.ypmed.2020.106241,Direct use of SHG-derived inputs,Used CISNET smoking initiation and cessation probabilities and smoking-status-specific mortality rates in a model of major depression and smoking.
77,ten Haaf K et al.,2020,A Comparative Modeling Analysis of Risk-Based Lung Cancer Screening Strategies,Journal of the National Cancer Institute,10.1093/jnci/djz164,Explicit use in analysis,Used SHG-generated smoking histories as common inputs for comparative risk-based screening analyses.
78,Bastani M et al.,2021,Evaluation of Alternative Diagnostic Follow-up Intervals for Lung Reporting and Data System Criteria on the Effectiveness of Lung Cancer Screening,Journal of the American College of Radiology,10.1016/j.jacr.2021.08.001,Direct use through CISNET model lineage,Used the SHG-based Lung Cancer Outcome Simulator to estimate population outcomes of alternative Lung-RADS follow-up intervals.
79,Cadham CJ et al.,2021,Cost-Effectiveness of Smoking Cessation Interventions in the Lung Cancer Screening Setting: A Simulation Study,Journal of the National Cancer Institute,10.1093/jnci/djab002,Direct use through CISNET model inputs,"Used CISNET University of Michigan model histories for the 1960 U.S. birth cohort, including initiation, cessation, intensity, and competing mortality by age, sex, and cohort."
80,Levy DT et al.,2021,Public Health Implications of Vaping in the USA: The Smoking and Vaping Simulation Model,Population Health Metrics,10.1186/s12963-021-00250-7,SHG-derived population model,Developed SAVM using CISNET age–period–cohort smoking initiation and cessation inputs to simulate smoking and vaping transitions.
81,Levy DT et al.,2021,The Public Health Gains Had Cigarette Companies Chosen to Sell Very Low Nicotine Cigarettes,Nicotine & Tobacco Research,10.1093/ntr/ntaa128,Direct CISNET model application,Applied a validated CISNET-based population model using historical birth-cohort smoking data to estimate the effects of very-low-nicotine cigarettes.
82,Meza RA et al.,2021,Evaluation of the Benefits and Harms of Lung Cancer Screening With Low-Dose Computed Tomography: Modeling Study for the US Preventive Services Task Force,JAMA,10.1001/jama.2021.1077,Explicit use in analysis,Generated one million smoking histories per sex and birth cohort as common inputs to four CISNET models.
83,Taksler GB et al.,2021,Modeling Strategies to Optimize Cancer Screening in USPSTF Guideline–Noncompliant Women,JAMA Oncology,10.1001/jamaoncol.2021.0952,Explicit use in analysis,Used the NCI SHG to estimate single-year all-cause survival probabilities and background mortality stratified by lung-screening eligibility in a cross-cancer screening analysis.
84,Tam J et al.,2021,Estimated Prevalence of Smoking and Smoking-Attributable Mortality Associated With Graphic Health Warnings on Cigarette Packages in the US From 2022 to 2100,JAMA Health Forum,10.1001/jamahealthforum.2021.2852,Explicit SHG-derived model,Used the deterministic CISNET SHG Population Model to simulate smoking prevalence and mortality under graphic-warning scenarios.
85,Tam J et al.,2021,The Potential Impact of Widespread Cessation Treatment for Smokers With Depression,American Journal of Preventive Medicine,10.1016/j.amepre.2021.04.024,Direct CISNET model application,Applied the CISNET-input smoking and depression model to estimate the mortality impact of widespread cessation treatment.
86,Toumazis I et al.,2021,A Cost-Effectiveness Analysis of Lung Cancer Screening With Low-Dose Computed Tomography and a Diagnostic Biomarker,JNCI Cancer Spectrum,10.1093/jncics/pkab081,Explicit use in analysis,Obtained population-representative individual smoking histories from SHG and transformed them into annual lung-cancer risk.
87,Toumazis I et al.,2021,A Risk-Based Framework for Assessing Real-Time Lung Cancer Screening Eligibility That Incorporates Life Expectancy and Past Screening Findings,Cancer,10.1002/cncr.33835,Explicit use in analysis,Used SHG-generated smoking histories and competing mortality in a real-time screening-eligibility framework.
88,Toumazis I et al.,2021,Cost-effectiveness Evaluation of the 2021 US Preventive Services Task Force Recommendation for Lung Cancer Screening,JAMA Oncology,10.1001/jamaoncol.2021.4942,Explicit use in analysis,Obtained representative 1960 U.S. birth-cohort histories through the CISNET SHG for four screening models.
89,Cao P et al.,2022,Cost-Effectiveness of a Telephone-Based Smoking Cessation Randomized Trial in the Lung Cancer Screening Setting,JNCI Cancer Spectrum,10.1093/jncics/pkac048,Explicit use in analysis,Used the University of Michigan lung model and SHG to extrapolate trial results to lifetime screening and cessation outcomes.
90,Cao P et al.,2022,Evaluation of Benefits and Harms of Adaptive Screening Schedules for Lung Cancer: A Microsimulation Study,Journal of Medical Screening,10.1177/09691413221118194,Explicit use in analysis,Generated histories for one million men and one million women from the 1960 cohort using SHG.
91,Lee PN et al.,2022,Estimating the Public Health Impact Had Tobacco-Free Nicotine Pouches Been Introduced Into the US in 2000,BMC Public Health,10.1186/s12889-022-13441-0,Direct use of SHG-derived inputs,Used CISNET current-smoking data for younger ages and CISNET smoking initiation and cessation rates to construct the cigarette-only comparator population.
92,Meza RA et al.,2022,Impact of Joint Lung Cancer Screening and Cessation Interventions Under the New Recommendations of the U.S. Preventive Services Task Force,Journal of Thoracic Oncology,10.1016/j.jtho.2021.09.011,Explicit use in analysis,Simulated histories of one million men and one million women from the 1960 U.S. birth cohort using SHG.
93,Smith RJ et al.,2022,Efficacy of Risk Prediction Models and Thresholds to Select Patients for Lung Cancer Screening,Canadian Association of Radiologists Journal,10.1177/08465371221089899,OncoSim internal-SHG application,Used OncoSim-Lung and its internal Canadian smoking histories to compare risk-model approaches for selecting screening participants.
94,Cao P et al.,2023,Smoking Disparities by Level of Educational Attainment and Birth Cohort in the U.S.,American Journal of Preventive Medicine,10.1016/j.amepre.2022.06.021,SHG subgroup-method extension,"Extended the CISNET-LWG smoking-history methodology to generate cohort-specific initiation, cessation, intensity, and prevalence parameters for five educational-attainment groups."
95,Holford TR et al.,2023,Smoking Histories by State in the U.S.,American Journal of Preventive Medicine,10.1016/j.amepre.2022.08.018,State-level SHG-method extension,"Applied the CISNET-LWG age-period-cohort smoking-history framework to generate model-ready smoking parameters for all 50 states and Washington, DC."
